name/first;zip;gender;date;bool;bool;pick;phone;pick;pick;cargo
Joe;64456;Male;2002-10-17;false;true;el hacha;(947) 786-3369;sector1;commite2;VOCAL
Marguerite;63777;Female;2008-12-12;false;true;ave maria;(570) 243-2720;sector2;commite3;VOCAL
Mario;68617;Female;1981-08-09;false;false;ave maria;(765) 925-7255;sector2;commite3;VICEPRESIDENTE
Troy;33211;Female;1994-07-14;false;false;ave maria;(658) 707-8229;sector1;commite3;PRESIDENTE
Margaret;44399;Male;2007-03-16;true;true;ave maria;(550) 587-1421;sector3;commite2;VICEPRESIDENTE
Joshua;16031;Male;1988-10-08;true;true;ave maria;(775) 516-6985;sector3;commite3;SECRETARIO
Wesley;77974;Male;1996-07-09;false;false;el hacha;(337) 661-6111;sector2;commite1;SECRETARIO
Estelle;19016;Male;1997-12-07;true;true;ave maria;(361) 919-5080;sector1;commite1;AUXILIAR
Margaret;97206;Female;1988-09-14;true;true;el hacha;(372) 626-4570;sector3;commite3;NINGUNO
Callie;16164;Male;1984-05-07;false;false;ave maria;(261) 459-5061;sector3;commite2;FISCAL
Jeffrey;40421;Female;1982-05-22;true;false;ave maria;(465) 274-5537;sector3;commite1;SECRETARIO
Lewis;55037;Female;2009-02-26;true;true;el hacha;(285) 364-6292;sector2;commite3;PRESIDENTE
Sean;146;Male;2016-07-17;true;false;un elefante se balanceaba;(242) 938-3787;sector1;commite1;AUXILIAR
May;80720;Male;1983-01-06;true;true;ave maria;(231) 224-5920;sector1;commite1;PRESIDENTE
Winifred;51134;Female;2011-06-30;false;true;el hacha;(866) 715-8877;sector1;commite3;VOCAL
Louis;17097;Female;1996-03-10;true;false;el hacha;(926) 341-8018;sector2;commite1;VOCAL
Willie;80424;Male;2017-08-13;true;true;el hacha;(221) 400-7800;sector2;commite3;FISCAL
Hallie;89084;Male;1985-02-07;false;false;ave maria;(466) 667-1868;sector2;commite2;FISCAL
Jimmy;8045;Female;1981-10-09;true;false;el hacha;(809) 347-4211;sector2;commite1;VOCAL
Patrick;87437;Female;2019-03-28;false;true;ave maria;(862) 349-6621;sector2;commite3;FISCAL
Jay;97068;Female;2019-04-27;false;false;ave maria;(903) 766-3714;sector2;commite2;NINGUNO
Wesley;85133;Female;1985-08-13;true;true;un elefante se balanceaba;(572) 637-5982;sector2;commite2;VICEPRESIDENTE
Lois;29952;Male;1997-03-12;true;false;el hacha;(453) 507-3551;sector1;commite3;SECRETARIO
Helen;17584;Male;2021-07-08;false;true;un elefante se balanceaba;(851) 359-8705;sector2;commite3;FISCAL
Micheal;53619;Female;2018-12-30;true;true;el hacha;(955) 443-2968;sector1;commite2;AUXILIAR
Mable;35739;Female;1999-08-19;false;false;el hacha;(264) 527-2250;sector3;commite1;NINGUNO
Eric;81083;Male;2004-10-30;true;false;un elefante se balanceaba;(315) 631-4478;sector2;commite3;SECRETARIO
Lucy;81418;Female;2019-02-23;false;false;un elefante se balanceaba;(900) 533-4789;sector3;commite2;VOCAL
Nelle;5341;Male;1999-05-24;true;false;un elefante se balanceaba;(423) 259-3467;sector3;commite2;FISCAL
John;35326;Female;1981-12-19;true;true;el hacha;(779) 634-6948;sector3;commite1;FISCAL
Marcus;73663;Female;1997-05-10;true;false;el hacha;(545) 225-4382;sector2;commite1;PRESIDENTE
Anthony;13322;Male;2018-11-02;false;true;ave maria;(730) 929-1036;sector1;commite3;AUXILIAR
Emily;48420;Female;1993-11-02;false;false;un elefante se balanceaba;(588) 900-9162;sector2;commite2;AUXILIAR
Jeffery;97839;Female;1989-03-29;false;false;el hacha;(467) 883-5958;sector3;commite1;SECRETARIO
Randy;56571;Male;1993-04-28;false;true;el hacha;(678) 956-8350;sector1;commite2;VOCAL
Ronnie;92525;Female;2017-12-18;true;true;ave maria;(828) 232-1059;sector1;commite3;TESORERO
Lucas;7367;Female;2016-10-27;true;true;el hacha;(203) 463-9165;sector2;commite3;TESORERO
Lucas;18889;Female;1997-03-24;false;false;el hacha;(987) 377-9572;sector1;commite3;AUXILIAR
Bertha;48892;Female;1989-06-18;false;false;ave maria;(362) 928-4322;sector3;commite2;VOCAL
Jeffrey;99963;Male;2013-10-12;true;false;el hacha;(837) 644-4678;sector1;commite2;VICEPRESIDENTE
Joseph;32139;Female;2012-10-21;false;true;ave maria;(213) 945-1916;sector3;commite3;AUXILIAR
Austin;28759;Female;1996-01-08;true;false;un elefante se balanceaba;(674) 294-8546;sector2;commite1;SECRETARIO
Corey;73348;Female;1984-04-22;true;true;ave maria;(987) 338-7394;sector3;commite2;NINGUNO
Lucas;99473;Male;2006-06-15;true;false;el hacha;(803) 204-5741;sector2;commite2;VOCAL
Sam;11316;Female;2016-04-23;false;true;un elefante se balanceaba;(868) 387-5812;sector1;commite1;PRESIDENTE
Leo;7607;Female;1987-07-23;false;true;el hacha;(807) 872-3268;sector3;commite3;NINGUNO
Rosalie;36353;Male;1992-04-03;false;true;un elefante se balanceaba;(832) 365-2440;sector1;commite2;FISCAL
Katie;69238;Female;2000-09-15;false;false;un elefante se balanceaba;(477) 387-5099;sector3;commite1;NINGUNO
Lela;37260;Female;2013-10-11;false;true;ave maria;(331) 876-7169;sector1;commite2;SECRETARIO
Annie;14986;Female;2003-11-10;false;true;un elefante se balanceaba;(466) 915-3004;sector2;commite1;FISCAL
Derrick;84498;Female;2000-05-11;false;false;ave maria;(958) 892-9159;sector3;commite3;PRESIDENTE
Chris;36104;Male;2012-02-08;true;true;un elefante se balanceaba;(963) 942-2883;sector1;commite3;TESORERO
Mable;93128;Male;2013-05-15;true;true;ave maria;(348) 651-1811;sector1;commite3;TESORERO
Marguerite;31974;Male;1998-12-22;false;false;un elefante se balanceaba;(727) 394-9274;sector3;commite3;AUXILIAR
Inez;21501;Female;1988-07-14;true;true;un elefante se balanceaba;(979) 385-5535;sector2;commite1;VOCAL
Louisa;71459;Male;2020-06-16;false;true;un elefante se balanceaba;(963) 760-9242;sector3;commite1;VICEPRESIDENTE
Shane;77575;Male;2006-10-03;false;true;el hacha;(473) 743-2988;sector3;commite1;AUXILIAR
Eugene;58913;Female;2008-10-29;true;false;el hacha;(610) 769-4259;sector2;commite1;VOCAL
Randall;41847;Male;1994-01-07;true;false;el hacha;(503) 458-3626;sector1;commite2;VICEPRESIDENTE
Devin;44136;Male;2011-11-17;true;false;el hacha;(442) 700-4489;sector2;commite1;VOCAL
Marian;69628;Female;2006-01-26;true;false;el hacha;(344) 521-1279;sector1;commite2;VOCAL
Dustin;16780;Female;2013-11-03;true;true;un elefante se balanceaba;(604) 866-8600;sector2;commite2;SECRETARIO
Violet;25573;Female;1988-07-31;true;true;ave maria;(519) 208-9222;sector2;commite3;VICEPRESIDENTE
Estella;43350;Female;2003-05-23;true;true;ave maria;(973) 411-1296;sector3;commite2;SECRETARIO
Olive;81190;Female;2014-01-01;true;true;ave maria;(487) 268-6396;sector1;commite2;VICEPRESIDENTE
Pearl;83818;Male;1987-05-18;true;false;un elefante se balanceaba;(621) 534-7971;sector3;commite2;VICEPRESIDENTE
Gilbert;25109;Female;2007-02-07;false;true;el hacha;(914) 245-9534;sector3;commite2;VOCAL
Mark;43199;Female;1989-07-28;false;true;el hacha;(276) 590-3213;sector2;commite1;FISCAL
Cody;79398;Female;2004-12-22;false;true;el hacha;(679) 656-8497;sector1;commite1;NINGUNO
Maud;76731;Male;2012-08-29;true;true;ave maria;(463) 540-4379;sector2;commite1;FISCAL
Lizzie;97643;Female;1992-12-30;true;true;el hacha;(647) 943-6380;sector3;commite2;AUXILIAR
Theodore;14663;Female;1999-12-14;false;false;un elefante se balanceaba;(305) 915-2180;sector3;commite2;AUXILIAR
Mildred;9376;Female;2000-10-07;true;true;ave maria;(310) 886-9411;sector2;commite2;PRESIDENTE
Kyle;45936;Female;1997-01-05;true;false;ave maria;(771) 555-4369;sector2;commite2;NINGUNO
Jayden;16765;Male;2016-11-06;true;false;un elefante se balanceaba;(622) 280-9969;sector2;commite2;NINGUNO
Michael;47777;Male;2011-07-25;true;true;el hacha;(364) 678-5061;sector3;commite3;TESORERO
Jackson;15926;Female;1997-05-18;false;false;el hacha;(257) 744-8840;sector1;commite2;VICEPRESIDENTE
Walter;61360;Female;1995-05-05;false;false;el hacha;(366) 535-8186;sector3;commite3;AUXILIAR
Brent;91480;Male;2021-05-06;true;true;el hacha;(416) 428-2196;sector2;commite1;SECRETARIO
Clara;48598;Male;1989-02-26;true;true;un elefante se balanceaba;(275) 448-7256;sector1;commite1;SECRETARIO
Victor;86403;Female;2013-03-03;true;true;un elefante se balanceaba;(522) 306-5178;sector3;commite2;NINGUNO
Mike;62133;Male;2001-09-03;false;false;ave maria;(372) 933-9866;sector3;commite3;VICEPRESIDENTE
Mabel;23194;Female;1999-02-19;true;false;ave maria;(722) 674-6686;sector2;commite3;SECRETARIO
Owen;79112;Female;1999-11-25;false;false;ave maria;(746) 461-5528;sector3;commite2;VOCAL
Mable;11146;Male;2000-01-27;false;false;un elefante se balanceaba;(546) 558-6437;sector3;commite1;VICEPRESIDENTE
Cory;13751;Female;2009-07-30;false;false;el hacha;(316) 596-4402;sector3;commite1;SECRETARIO
Esther;20227;Male;1984-08-17;true;true;ave maria;(980) 405-2180;sector2;commite3;SECRETARIO
Henrietta;88138;Female;1982-10-25;true;true;un elefante se balanceaba;(219) 678-2484;sector1;commite1;NINGUNO
Leon;39018;Female;2006-05-09;false;false;un elefante se balanceaba;(407) 686-5263;sector1;commite2;AUXILIAR
Curtis;78447;Male;2001-12-15;false;true;un elefante se balanceaba;(278) 570-2419;sector2;commite2;TESORERO
Elva;57009;Female;2007-05-05;false;false;ave maria;(411) 769-5746;sector3;commite3;VOCAL
Kenneth;4827;Male;2021-04-02;false;true;un elefante se balanceaba;(526) 752-8129;sector1;commite2;TESORERO
Millie;673;Male;1989-11-22;false;false;el hacha;(679) 376-9194;sector3;commite3;FISCAL
Blake;58007;Female;2013-02-18;true;false;ave maria;(859) 918-2779;sector2;commite2;AUXILIAR
Hettie;22928;Male;2015-07-20;true;false;un elefante se balanceaba;(770) 523-9451;sector2;commite2;SECRETARIO
Hilda;9040;Male;2008-06-19;true;true;un elefante se balanceaba;(239) 538-3200;sector2;commite2;FISCAL
Kevin;85785;Female;2002-08-06;false;false;un elefante se balanceaba;(818) 973-5212;sector1;commite3;SECRETARIO
Claudia;32833;Male;1995-08-24;true;false;un elefante se balanceaba;(487) 402-5001;sector1;commite3;VOCAL
Leila;38259;Male;2013-11-09;false;true;ave maria;(501) 582-8582;sector2;commite1;NINGUNO
Gordon;33735;Male;2009-01-23;false;true;el hacha;(687) 731-1758;sector1;commite2;AUXILIAR
Dale;43221;Female;2002-10-17;true;false;el hacha;(424) 969-7089;sector2;commite1;SECRETARIO
Vincent;39582;Male;2008-12-12;true;false;un elefante se balanceaba;(772) 753-9412;sector2;commite3;PRESIDENTE
Lola;75109;Male;1981-08-09;false;false;el hacha;(621) 321-6464;sector3;commite1;TESORERO
Linnie;96776;Female;1994-07-14;false;false;ave maria;(362) 967-4437;sector3;commite1;NINGUNO
Oscar;74545;Male;2007-03-16;true;true;un elefante se balanceaba;(521) 591-8041;sector3;commite3;SECRETARIO
Ronnie;67024;Female;1988-10-08;false;true;ave maria;(612) 258-7767;sector2;commite3;SECRETARIO
Flora;25887;Male;1996-07-09;false;true;ave maria;(239) 877-8749;sector3;commite3;PRESIDENTE
Isabelle;56512;Male;1997-12-07;false;true;ave maria;(266) 730-4689;sector1;commite2;VICEPRESIDENTE
Cordelia;49197;Male;1988-09-14;true;true;ave maria;(347) 977-7357;sector1;commite1;TESORERO
Daisy;95619;Female;1984-05-07;true;true;un elefante se balanceaba;(561) 740-2602;sector2;commite3;AUXILIAR
Lela;52205;Female;1982-05-22;false;true;ave maria;(286) 301-8301;sector1;commite2;AUXILIAR
Fannie;9335;Male;2009-02-26;true;true;un elefante se balanceaba;(934) 808-9395;sector2;commite1;VICEPRESIDENTE
Anthony;36765;Male;2016-07-17;false;false;el hacha;(550) 602-6601;sector1;commite1;FISCAL
Roger;94754;Male;1983-01-06;true;false;el hacha;(575) 887-9659;sector2;commite1;VICEPRESIDENTE
Catherine;73474;Male;2011-06-30;true;false;el hacha;(359) 511-2278;sector3;commite3;VICEPRESIDENTE
Rosetta;4273;Male;1996-03-10;false;true;un elefante se balanceaba;(374) 625-1568;sector2;commite3;TESORERO
Stephen;37922;Male;2017-08-13;true;true;un elefante se balanceaba;(985) 335-2806;sector2;commite2;AUXILIAR
Mabelle;76517;Female;1985-02-07;false;false;el hacha;(812) 742-4438;sector3;commite1;VICEPRESIDENTE
Hattie;3596;Female;1981-10-09;true;false;el hacha;(209) 397-4988;sector3;commite2;NINGUNO
Juan;26023;Male;2019-03-28;true;false;un elefante se balanceaba;(429) 498-9335;sector3;commite2;VOCAL
Jared;95351;Male;2019-04-27;false;true;ave maria;(764) 710-6956;sector1;commite3;TESORERO
Essie;69739;Female;1985-08-13;true;false;el hacha;(655) 969-2309;sector2;commite2;PRESIDENTE
Leah;88551;Female;1997-03-12;true;true;un elefante se balanceaba;(526) 343-5859;sector3;commite1;NINGUNO
Myrtie;95791;Male;2021-07-08;true;false;un elefante se balanceaba;(423) 864-7583;sector3;commite2;VOCAL
Ina;87595;Female;2018-12-30;true;false;el hacha;(557) 316-6018;sector1;commite3;TESORERO
Jerry;14134;Male;1999-08-19;false;true;ave maria;(839) 546-9856;sector1;commite3;FISCAL
Martha;16050;Male;2004-10-30;true;true;el hacha;(516) 467-7284;sector2;commite2;NINGUNO
Alexander;35643;Female;2019-02-23;true;true;el hacha;(264) 480-4194;sector3;commite3;VOCAL
Marie;21982;Male;1999-05-24;true;true;ave maria;(522) 801-1266;sector3;commite2;VICEPRESIDENTE
Alma;40606;Male;1981-12-19;true;true;ave maria;(802) 427-5952;sector2;commite2;VOCAL
Lewis;24057;Female;1997-05-10;true;true;el hacha;(856) 929-5297;sector3;commite3;VICEPRESIDENTE
Cynthia;8208;Female;2018-11-02;false;true;el hacha;(819) 223-2721;sector2;commite2;NINGUNO
Winifred;60737;Male;1993-11-02;true;false;el hacha;(887) 895-5890;sector2;commite3;PRESIDENTE
Inez;53785;Male;1989-03-29;true;true;un elefante se balanceaba;(985) 777-6314;sector1;commite2;AUXILIAR
Elmer;51888;Female;1993-04-28;true;false;el hacha;(203) 257-5223;sector3;commite3;TESORERO
Gary;12426;Female;2017-12-18;false;false;un elefante se balanceaba;(289) 312-3387;sector3;commite2;NINGUNO
Lillie;16080;Male;2016-10-27;false;false;un elefante se balanceaba;(940) 891-3134;sector3;commite1;PRESIDENTE
Genevieve;33874;Female;1997-03-24;false;true;el hacha;(973) 804-2177;sector2;commite3;VICEPRESIDENTE
Luke;41343;Female;1989-06-18;true;true;un elefante se balanceaba;(308) 392-2954;sector1;commite3;FISCAL
Marvin;56349;Female;2013-10-12;true;false;el hacha;(825) 290-9103;sector1;commite1;AUXILIAR
Emma;16328;Female;2012-10-21;true;true;un elefante se balanceaba;(921) 771-9879;sector1;commite1;NINGUNO
Edward;69588;Female;1996-01-08;false;true;ave maria;(289) 741-3115;sector2;commite3;VICEPRESIDENTE
Marian;19588;Male;1984-04-22;false;false;ave maria;(372) 575-2637;sector2;commite1;VOCAL
Vernon;35118;Male;2006-06-15;false;false;ave maria;(558) 336-9230;sector2;commite1;VICEPRESIDENTE
Nicholas;12401;Female;2016-04-23;false;true;un elefante se balanceaba;(680) 581-7129;sector1;commite3;FISCAL
Lettie;45958;Female;1987-07-23;false;false;ave maria;(953) 224-3920;sector1;commite2;SECRETARIO
Sam;2158;Male;1992-04-03;true;false;el hacha;(304) 893-3860;sector2;commite2;FISCAL
Herbert;22097;Male;2000-09-15;false;true;ave maria;(309) 773-1427;sector3;commite1;AUXILIAR
Leah;83394;Male;2013-10-11;false;false;el hacha;(240) 741-1430;sector2;commite2;SECRETARIO
Jesse;94991;Male;2003-11-10;true;true;un elefante se balanceaba;(721) 861-2269;sector1;commite3;FISCAL
Evan;80553;Male;2000-05-11;true;false;un elefante se balanceaba;(910) 477-1529;sector1;commite1;VOCAL
Leona;39191;Female;2012-02-08;true;false;el hacha;(675) 225-4470;sector2;commite1;VOCAL
Cole;23955;Male;2013-05-15;false;true;un elefante se balanceaba;(915) 410-1040;sector1;commite3;PRESIDENTE
Gertrude;99623;Female;1998-12-22;true;false;ave maria;(987) 992-1568;sector2;commite1;AUXILIAR
Lillie;49576;Female;1988-07-14;false;true;ave maria;(388) 316-6112;sector2;commite3;VOCAL
Myrtie;27139;Male;2020-06-16;false;false;un elefante se balanceaba;(706) 853-4291;sector3;commite3;VOCAL
Ethan;57269;Male;2006-10-03;false;false;un elefante se balanceaba;(613) 207-6599;sector3;commite2;SECRETARIO
Antonio;56986;Female;2008-10-29;false;false;el hacha;(866) 872-6840;sector3;commite2;AUXILIAR
Helen;91202;Female;1994-01-07;false;true;un elefante se balanceaba;(578) 884-5545;sector3;commite1;TESORERO
Lucy;29591;Male;2011-11-17;false;true;ave maria;(761) 813-7826;sector3;commite2;TESORERO
Chase;89996;Female;2006-01-26;true;false;un elefante se balanceaba;(244) 729-9608;sector1;commite1;SECRETARIO
Beatrice;65514;Male;2013-11-03;true;false;el hacha;(201) 327-8875;sector1;commite3;NINGUNO
Rodney;20178;Male;1988-07-31;true;true;un elefante se balanceaba;(515) 569-6922;sector1;commite3;FISCAL
Martin;40974;Female;2003-05-23;false;false;un elefante se balanceaba;(979) 831-7406;sector1;commite2;AUXILIAR
Cynthia;91048;Male;2014-01-01;true;false;un elefante se balanceaba;(826) 884-3515;sector1;commite3;FISCAL
Hilda;18158;Male;1987-05-18;false;true;un elefante se balanceaba;(863) 806-2620;sector2;commite1;AUXILIAR
Sue;5907;Female;2007-02-07;false;true;ave maria;(854) 327-6715;sector2;commite3;PRESIDENTE
Lawrence;49488;Male;1989-07-28;true;false;el hacha;(961) 711-6086;sector3;commite1;FISCAL
Lola;55669;Male;2004-12-22;false;true;el hacha;(819) 862-1938;sector2;commite2;PRESIDENTE
Joseph;20271;Male;2012-08-29;false;true;el hacha;(586) 925-9052;sector3;commite3;PRESIDENTE
Noah;77143;Female;1992-12-30;false;true;ave maria;(660) 726-9135;sector1;commite3;FISCAL
Jackson;57206;Female;1999-12-14;true;true;ave maria;(709) 920-9740;sector2;commite2;AUXILIAR
Calvin;82740;Male;2000-10-07;false;true;el hacha;(462) 494-1763;sector2;commite1;VOCAL
Ada;55801;Male;1997-01-05;true;true;el hacha;(782) 914-2608;sector3;commite2;VICEPRESIDENTE
Edith;74379;Female;2016-11-06;true;true;el hacha;(689) 711-6992;sector2;commite3;VICEPRESIDENTE
Blake;60241;Male;2011-07-25;false;true;ave maria;(886) 465-3308;sector3;commite2;SECRETARIO
Alta;72308;Female;1997-05-18;false;false;un elefante se balanceaba;(742) 946-9070;sector2;commite2;NINGUNO
Loretta;84270;Female;1995-05-05;false;false;el hacha;(841) 474-2501;sector1;commite1;PRESIDENTE
Katherine;81619;Male;2021-05-06;false;true;ave maria;(768) 492-2253;sector3;commite3;VICEPRESIDENTE
Manuel;73266;Female;1989-02-26;false;true;ave maria;(905) 958-7503;sector2;commite2;FISCAL
Norman;38821;Female;2013-03-03;true;false;un elefante se balanceaba;(546) 717-6908;sector1;commite3;NINGUNO
Edith;60351;Female;2001-09-03;true;true;un elefante se balanceaba;(437) 648-3549;sector3;commite2;NINGUNO
Gary;87085;Male;1999-02-19;true;false;un elefante se balanceaba;(254) 313-8926;sector2;commite2;PRESIDENTE
Clarence;63869;Male;1999-11-25;true;false;el hacha;(544) 522-8709;sector2;commite3;PRESIDENTE
Leon;60948;Female;2000-01-27;false;true;el hacha;(520) 446-7508;sector1;commite2;SECRETARIO
Rodney;42327;Male;2009-07-30;false;true;el hacha;(328) 395-2427;sector2;commite2;NINGUNO
Isaiah;32153;Male;1984-08-17;false;true;el hacha;(937) 635-6792;sector3;commite1;TESORERO
Chris;6780;Female;1982-10-25;false;false;ave maria;(568) 772-5609;sector3;commite1;PRESIDENTE
Jesse;71170;Female;2006-05-09;false;true;un elefante se balanceaba;(934) 699-5985;sector3;commite3;VOCAL
Cecelia;29136;Male;2001-12-15;false;true;ave maria;(263) 676-4263;sector3;commite3;TESORERO
Mildred;23883;Male;2007-05-05;true;true;el hacha;(940) 370-3153;sector1;commite2;TESORERO
Eric;76409;Male;2021-04-02;true;true;el hacha;(938) 803-6877;sector1;commite2;VOCAL
Amelia;82160;Female;1989-11-22;true;false;ave maria;(205) 824-2317;sector2;commite3;PRESIDENTE
Kevin;2332;Female;2013-02-18;true;true;ave maria;(843) 725-1779;sector3;commite2;PRESIDENTE
Luke;92944;Male;2015-07-20;true;false;ave maria;(415) 903-4652;sector1;commite1;FISCAL
Dora;83030;Male;2008-06-19;true;false;ave maria;(779) 265-8400;sector3;commite2;AUXILIAR
Violet;62388;Male;2002-08-06;false;true;el hacha;(847) 390-5154;sector1;commite1;NINGUNO
Gene;37879;Male;1995-08-24;true;false;el hacha;(747) 489-2712;sector2;commite1;FISCAL
Emily;31937;Male;2013-11-09;true;false;ave maria;(856) 481-6324;sector1;commite1;VICEPRESIDENTE
Amelia;50304;Female;2009-01-23;true;true;ave maria;(354) 975-5742;sector3;commite3;FISCAL
Roger;17520;Female;2002-10-17;false;true;un elefante se balanceaba;(457) 602-8047;sector1;commite1;VICEPRESIDENTE
Kate;92324;Female;2008-12-12;true;false;un elefante se balanceaba;(581) 277-2562;sector1;commite3;NINGUNO
Todd;63433;Female;1981-08-09;false;true;el hacha;(372) 815-9577;sector1;commite2;VOCAL
Lilly;97533;Female;1994-07-14;false;true;el hacha;(317) 605-2033;sector3;commite1;FISCAL
Olive;85048;Male;2007-03-16;true;true;un elefante se balanceaba;(834) 937-9522;sector2;commite3;VOCAL
Frederick;5435;Female;1988-10-08;false;true;ave maria;(620) 442-9686;sector3;commite2;VOCAL
Harry;90174;Female;1996-07-09;false;false;un elefante se balanceaba;(704) 211-3710;sector1;commite3;AUXILIAR
George;21147;Male;1997-12-07;true;true;ave maria;(354) 485-7593;sector2;commite2;NINGUNO
